video_id,youtube_title,display_title,batch
ZoK4zmajosQ,2026 NANP Legislative Affiars,2026 NANP Legislative Affairs,1
ye9JdubZuh4,8/19/22 Business Mastermind Recording,"Business Mastermind — Aug 22, 2025",1
OSESR5LXYhk,Be - Do- Have Exercise. Business Mastermind Live [4/2/2025],"Business Mastermind — Apr 2, 2025",1
CwjiItilDsY,Business Mastermind - 12/10/2024,"Business Mastermind — Dec 22, 2024",1
oAaUv6BdrlQ,Business Mastermind - 12/3/2024,"Business Mastermind — Dec 22, 2024",1
ndzN7B28ze8,Business Mastermind 12/17/2024,"Business Mastermind — Dec 22, 2024",1
f61zVrZki7Y,Business Mastermind Call - 1/14/2025 [recording],"Business Mastermind — Jan 16, 2025",1
TvfkdmyUFOc,Business Mastermind Call - Jan 7 2025,"Business Mastermind — Jan 8, 2025",1
rgs3jUpzCxk,Business Mastermind Call: 2025-01-15T00:29:38Z,"Business Mastermind — Jan 15, 2025",1
i4Lpj9ts3tg,Business Mastermind Call: 2025-01-22T00:30:34Z,"Business Mastermind — Jan 22, 2025",1
o-Srcn44WR4,Business Mastermind Call: 2025-01-29T00:30:38Z,"Business Mastermind — Jan 29, 2025",1
v_4Wt2sIOm0,Business Mastermind Call: 2025-02-19T00:26:51Z,"Business Mastermind — Feb 19, 2025",1
hU9FVqSFavg,Business Mastermind Call: 2025-02-26T00:28:51Z,"Business Mastermind — Feb 26, 2025",1
Kuut1JUMPZg,Business Mastermind Call: 2025-03-11T23:30:11Z,"Business Mastermind — Mar 11, 2025",1
cGynGXt8G3g,Business Mastermind Call: 2025-03-13T23:25:46Z,"Business Mastermind — Mar 13, 2025",1
AY2vhJXkMsc,Business Mastermind Call: 2025-03-18T23:32:49Z,"Business Mastermind — Mar 18, 2025",1
SruajJCkDQs,Business Mastermind Call: 2025-04-08T23:30:25Z,"Business Mastermind — Apr 8, 2025",1
nHkDrmJqudg,Business Mastermind Call: 2025-04-22T14:03:23Z,"Business Mastermind — Apr 22, 2025",1
ehJm_GCJnPg,Business Mastermind Call: 2025-05-13T23:30:00Z,"Business Mastermind — May 13, 2025",1
1JviX-efwW4,Business Mastermind Call: 2025-05-20T23:29:58Z,"Business Mastermind — May 20, 2025",1
4EHGbqix67M,Business Mastermind Call: 2025-05-27T23:30:14Z,"Business Mastermind — May 27, 2025",1
lzeRvUav9pg,Business Mastermind Call: 2025-06-10T23:29:57Z,"Business Mastermind — Jun 10, 2025",1
AYGRGt-BXxU,Business Mastermind Call: 2025-06-17T13:57:31Z,"Business Mastermind — Jun 17, 2025",1
lauXRen5Zgs,Business Mastermind Call: 2025-06-27T16:28:58Z,"Business Mastermind — Jun 27, 2025",1
9xIpWS110o8,Business Mastermind Call: 2025-07-01T23:31:14Z,"Business Mastermind — Jul 1, 2025",1
Cuky2weDHJ4,Business Mastermind Call: 2025-07-08T23:28:16Z,"Business Mastermind — Jul 8, 2025",1
MeoaJKv65L4,Business Mastermind Call: 2025-07-29T23:30:08Z,"Business Mastermind — Jul 29, 2025",1
gmN95z9MD0w,Business Mastermind Call: 2025-08-05T23:31:22Z,"Business Mastermind — Aug 5, 2025",1
iYjdSBo8WFo,Business Mastermind Call: 2025-08-26T23:28:55Z,"Business Mastermind — Aug 26, 2025",1
MavwLg9fu6k,Business Mastermind Call: 2025-09-02T23:27:36Z,"Business Mastermind — Sep 2, 2025",1
PvVeH_gFSuU,Business Mastermind Call: 2025-09-09T23:28:49Z,"Business Mastermind — Sep 9, 2025",1
